1000,-3.1524160435223694,2.4,2.4,2.4,-10.352416043522368
2000,2.7364642262106407,3.86,3.86,3.86,-8.843535773789359
3000,16.013138047767303,8.19,8.19,8.19,-8.556861952232698
4000,49.80270503728282,25.42,25.42,25.42,-26.457294962717178
5000,30.087000059129377,17.65,17.65,17.65,-22.862999940870626
6000,8.939719994576368,7.93,7.93,7.93,-14.850280005423635
7000,7.506630550052576,6.32,6.32,6.32,-11.453369449947422
8000,15.250677226762614,8.46,8.46,8.46,-10.129322773237385
9000,22.784955977781998,12.13,12.13,12.13,-13.605044022218005
10000,25.10255039367203,13.55,13.55,13.55,-15.54744960632797
11000,24.296289308391295,13.38,13.38,13.38,-15.843710691608702
12000,34.41401496805582,18.36,18.36,18.36,-20.66598503194418
13000,29.664861805084723,16.56,16.56,16.56,-20.015138194915277
14000,30.89485947276257,17.37,17.37,17.37,-21.21514052723743
15000,25.138181124849638,15.54,15.54,15.54,-21.481818875150363
16000,25.629862050593243,15.94,15.94,15.94,-22.190137949406758
17000,22.08789247952187,14.1,14.1,14.1,-20.21210752047813
18000,18.67268923835072,12.52,12.52,12.52,-18.887310761649278
19000,15.632091787321095,10.82,10.82,10.82,-16.827908212678906
20000,21.810205984995076,13.26,13.26,13.26,-17.969794015004926
